Estado,Municipio,Colonia,Codigo
Distrito Federal,Álvaro Obregón,San Angel,1000
Distrito Federal,Álvaro Obregón,Los Alpes,1010
Distrito Federal,Álvaro Obregón,Guadalupe Inn,1020
Distrito Federal,Álvaro Obregón,Secretaria de Contraloría y Desarrollo Administrativo,1028
Distrito Federal,Álvaro Obregón,INFONAVIT,1029
Distrito Federal,Álvaro Obregón,Florida,1030
Distrito Federal,Álvaro Obregón,Axotla,1030
Distrito Federal,Álvaro Obregón,Campestre,1040
Distrito Federal,Álvaro Obregón,Las Águilas,1048
Distrito Federal,Álvaro Obregón,Tlacopac,1049
Distrito Federal,Álvaro Obregón,Ex-Hacienda de Guadalupe Chimalistac,1050
Distrito Federal,Álvaro Obregón,Altavista,1060
Distrito Federal,Álvaro Obregón,San Angel Inn,1060
Distrito Federal,Álvaro Obregón,Chimalistac,1070
Distrito Federal,Álvaro Obregón,Progreso Tizapan,1080
Distrito Federal,Álvaro Obregón,Ermita Tizapan,1089
Distrito Federal,Álvaro Obregón,Tizapan,1090
Distrito Federal,Álvaro Obregón,Loreto,1090
Distrito Federal,Álvaro Obregón,La Otra Banda,1090
Distrito Federal,Álvaro Obregón,Lomas de Santo Domingo,1100
Distrito Federal,Álvaro Obregón,Pólvora,1100
Distrito Federal,Álvaro Obregón,La Conchita,1109
Distrito Federal,Álvaro Obregón,Ampliación El Capulin,1110
Distrito Federal,Álvaro Obregón,El Capulín,1110
Distrito Federal,Álvaro Obregón,Liberales de 1857,1110
Distrito Federal,Álvaro Obregón,Belém de las Flores,1110
Distrito Federal,Álvaro Obregón,Secretaria de la Policia Federal Preventiva,1116
Distrito Federal,Álvaro Obregón,Las Américas,1120
Distrito Federal,Álvaro Obregón,Sears Roebuck,1120
Distrito Federal,Álvaro Obregón,Acueducto,1120
Distrito Federal,Álvaro Obregón,Hidalgo,1120
Distrito Federal,Álvaro Obregón,Cove,1120
Distrito Federal,Álvaro Obregón,Ampliación Acueducto,1125
Distrito Federal,Álvaro Obregón,Molino de Santo Domingo,1130
Distrito Federal,Álvaro Obregón,Paraíso,1130
Distrito Federal,Álvaro Obregón,Real del Monte,1130
Distrito Federal,Álvaro Obregón,Molino de Santo Domingo,1130
Distrito Federal,Álvaro Obregón,Reacomodo Pino Suárez,1139
Distrito Federal,Álvaro Obregón,Bellavista,1140
Distrito Federal,Álvaro Obregón,José Maria Pino Suárez,1140
Distrito Federal,Álvaro Obregón,Tolteca,1150
Distrito Federal,Álvaro Obregón,Cristo Rey,1150
Distrito Federal,Álvaro Obregón,Delegación Política Álvaro Obregón,1159
Distrito Federal,Álvaro Obregón,Maria G. de García Ruiz,1160
Distrito Federal,Álvaro Obregón,1a Victoria,1160
Distrito Federal,Álvaro Obregón,Isidro Fabela,1160
Distrito Federal,Álvaro Obregón,Bosque,1160
Distrito Federal,Álvaro Obregón,Santa Fe IMSS,1170
Distrito Federal,Álvaro Obregón,Abraham M. González,1170
Distrito Federal,Álvaro Obregón,Carola,1180
Distrito Federal,Álvaro Obregón,San Pedro de los Pinos,1180
Distrito Federal,Álvaro Obregón,8 de Agosto,1180
Distrito Federal,Álvaro Obregón,Nelli Campo Bello,1184
Distrito Federal,Álvaro Obregón,Arturo Martínez,1200
Distrito Federal,Álvaro Obregón,Belén,1209
Distrito Federal,Álvaro Obregón,Santa Fe,1210
Distrito Federal,Álvaro Obregón,Lomas de Santa Fe,1219
Distrito Federal,Álvaro Obregón,Mártires de Tacubaya,1220
Distrito Federal,Álvaro Obregón,El Cuernito,1220
Distrito Federal,Álvaro Obregón,Zenón Delgado,1220
Distrito Federal,Álvaro Obregón,Bonanza,1220
Distrito Federal,Álvaro Obregón,Cuevitas,1220
Distrito Federal,Álvaro Obregón,La Estrella,1220
Distrito Federal,Álvaro Obregón,Campo de Tiro los Gamitos,1230
Distrito Federal,Álvaro Obregón,Los Gamitos,1230
Distrito Federal,Álvaro Obregón,Tlapechico,1230
Distrito Federal,Álvaro Obregón,El Piru Santa Fe,1230
Distrito Federal,Álvaro Obregón,El Piru 2a Ampliación,1230
Distrito Federal,Álvaro Obregón,La Huerta,1239
Distrito Federal,Álvaro Obregón,Pueblo Nuevo,1240
Distrito Federal,Álvaro Obregón,El Árbol,1250
Distrito Federal,Álvaro Obregón,Ladera,1250
Distrito Federal,Álvaro Obregón,Tecolalco,1250
Distrito Federal,Álvaro Obregón,Lomas de Nuevo México,1250
Distrito Federal,Álvaro Obregón,Margarita Maza de Juárez,1250
Distrito Federal,Álvaro Obregón,Ampliación La Cebada,1259
Distrito Federal,Álvaro Obregón,La Mexicana 2a Ampliación,1259
Distrito Federal,Álvaro Obregón,Liberación Proletaria,1260
Distrito Federal,Álvaro Obregón,Ampliación La Mexicana,1260
Distrito Federal,Álvaro Obregón,La Mexicana,1260
Distrito Federal,Álvaro Obregón,La Palmita,1260
Distrito Federal,Álvaro Obregón,Calzada Jalalpa,1260
Distrito Federal,Álvaro Obregón,1a Sección Cañada,1269
Distrito Federal,Álvaro Obregón,2a Sección Cañada,1269
Distrito Federal,Álvaro Obregón,Golondrinas,1270
Distrito Federal,Álvaro Obregón,Golondrinas 2a Sección,1270
Distrito Federal,Álvaro Obregón,La Presa,1270
Distrito Federal,Álvaro Obregón,Golondrinas 1a Sección,1270
Distrito Federal,Álvaro Obregón,El Tejocote,1270
Distrito Federal,Álvaro Obregón,Lomas de Capula,1270
Distrito Federal,Álvaro Obregón,Villa Solidaridad,1275
Distrito Federal,Álvaro Obregón,El Pirul,1276
Distrito Federal,Álvaro Obregón,Desarrollo Urbano,1278
Distrito Federal,Álvaro Obregón,Lomas de Becerra,1279
Distrito Federal,Álvaro Obregón,Francisco Villa,1280
Distrito Federal,Álvaro Obregón,Lomas de Becerra,1280
Distrito Federal,Álvaro Obregón,El Pocito,1280
Distrito Federal,Álvaro Obregón,Arvide,1280
Distrito Federal,Álvaro Obregón,La Joya,1280
Distrito Federal,Álvaro Obregón,El Rodeo,1285
Distrito Federal,Álvaro Obregón,Reacomodo El Cuernito,1289
Distrito Federal,Álvaro Obregón,Piloto Adolfo López Mateos,1290
Distrito Federal,Álvaro Obregón,Presidentes,1290
Distrito Federal,Álvaro Obregón,Ampliación Jalalpa,1296
Distrito Federal,Álvaro Obregón,Jalalpa Tepito,1296
Distrito Federal,Álvaro Obregón,Jalalpa Tepito 2a Ampliación,1296
Distrito Federal,Álvaro Obregón,Ampliación Piloto Adolfo López Mateos,1298
Distrito Federal,Álvaro Obregón,1a Ampliación Presidentes,1299
Distrito Federal,Álvaro Obregón,2a Ampliación Presidentes,1299
